replacement_policy,prefetcher_type,l1_cache_sample_seed,l2_cache_sample_seed,l3_cache_sample_seed,experiment_index
SecondChanceRP,Tagged,2,3,1,177
SecondChanceRP,Tagged,2,3,2,178
SecondChanceRP,Tagged,2,3,3,179
SecondChanceRP,Tagged,3,1,1,180
SecondChanceRP,Tagged,3,1,2,181
SecondChanceRP,Tagged,3,1,3,182
SecondChanceRP,Tagged,3,2,1,183
SecondChanceRP,Tagged,3,2,2,184
SecondChanceRP,Tagged,3,2,3,185
SecondChanceRP,Tagged,3,3,1,186
SecondChanceRP,Tagged,3,3,2,187
SecondChanceRP,Tagged,3,3,3,188
SecondChanceRP,Stride,1,1,1,189
SecondChanceRP,Stride,1,1,2,190
SecondChanceRP,Stride,1,1,3,191
SecondChanceRP,Stride,1,2,1,192
SecondChanceRP,Stride,1,2,2,193
SecondChanceRP,Stride,1,2,3,194
SecondChanceRP,Stride,1,3,1,195
SecondChanceRP,Stride,1,3,2,196
SecondChanceRP,Stride,1,3,3,197
SecondChanceRP,Stride,2,1,1,198
SecondChanceRP,Stride,2,1,2,199
SecondChanceRP,Stride,2,1,3,200
SecondChanceRP,Stride,2,2,1,201
SecondChanceRP,Stride,2,2,2,202
SecondChanceRP,Stride,2,2,3,203
SecondChanceRP,Stride,2,3,1,204
SecondChanceRP,Stride,2,3,2,205
SecondChanceRP,Stride,2,3,3,206
SecondChanceRP,Stride,3,1,1,207
SecondChanceRP,Stride,3,1,2,208
SecondChanceRP,Stride,3,1,3,209
SecondChanceRP,Stride,3,2,1,210
SecondChanceRP,Stride,3,2,2,211
SecondChanceRP,Stride,3,2,3,212
SecondChanceRP,Stride,3,3,1,213
SecondChanceRP,Stride,3,3,2,214
SecondChanceRP,Stride,3,3,3,215
SecondChanceRP,Signature,1,1,1,216
SecondChanceRP,Signature,1,1,2,217
SecondChanceRP,Signature,1,1,3,218
SecondChanceRP,Signature,1,2,1,219
SecondChanceRP,Signature,1,2,2,220
SecondChanceRP,Signature,1,2,3,221
SecondChanceRP,Signature,1,3,1,222
SecondChanceRP,Signature,1,3,2,223
SecondChanceRP,Signature,1,3,3,224
SecondChanceRP,Signature,2,1,1,225
SecondChanceRP,Signature,2,1,2,226
SecondChanceRP,Signature,2,1,3,227
SecondChanceRP,Signature,2,2,1,228
SecondChanceRP,Signature,2,2,2,229
SecondChanceRP,Signature,2,2,3,230
SecondChanceRP,Signature,2,3,1,231
SecondChanceRP,Signature,2,3,2,232
SecondChanceRP,Signature,2,3,3,233
SecondChanceRP,Signature,3,1,1,234
SecondChanceRP,Signature,3,1,2,235
SecondChanceRP,Signature,3,1,3,236
SecondChanceRP,Signature,3,2,1,237
SecondChanceRP,Signature,3,2,2,238
SecondChanceRP,Signature,3,2,3,239
SecondChanceRP,Signature,3,3,1,240
SecondChanceRP,Signature,3,3,2,241
SecondChanceRP,Signature,3,3,3,242
