replacement_policy,prefetcher_type,l1_cache_sample_seed,l2_cache_sample_seed,l3_cache_sample_seed,big_core_width,big_core_rob_size,big_core_num_int_regs,big_core_num_fp_regs,small_core_width,small_core_rob_size,small_core_num_int_regs,small_core_num_fp_regs,big_core_num,small_core_num,matsize,experiment_index
LRURP,ISB,4,2,4,10,40,50,50,2,30,40,40,2,2,64,77
LRURP,ISB,4,4,1,10,40,50,50,2,30,40,40,2,2,64,78
LRURP,ISB,4,4,2,10,40,50,50,2,30,40,40,2,2,64,79
LRURP,ISB,4,4,4,10,40,50,50,2,30,40,40,2,2,64,80
LFURP,Tagged,1,1,1,10,40,50,50,2,30,40,40,2,2,64,81
LFURP,Tagged,1,1,2,10,40,50,50,2,30,40,40,2,2,64,82
LFURP,Tagged,1,1,4,10,40,50,50,2,30,40,40,2,2,64,83
LFURP,Tagged,1,2,1,10,40,50,50,2,30,40,40,2,2,64,84
LFURP,Tagged,1,2,2,10,40,50,50,2,30,40,40,2,2,64,85
LFURP,Tagged,1,2,4,10,40,50,50,2,30,40,40,2,2,64,86
LFURP,Tagged,1,4,1,10,40,50,50,2,30,40,40,2,2,64,87
LFURP,Tagged,1,4,2,10,40,50,50,2,30,40,40,2,2,64,88
LFURP,Tagged,1,4,4,10,40,50,50,2,30,40,40,2,2,64,89
LFURP,Tagged,2,1,1,10,40,50,50,2,30,40,40,2,2,64,90
LFURP,Tagged,2,1,2,10,40,50,50,2,30,40,40,2,2,64,91
LFURP,Tagged,2,1,4,10,40,50,50,2,30,40,40,2,2,64,92
LFURP,Tagged,2,2,1,10,40,50,50,2,30,40,40,2,2,64,93
LFURP,Tagged,2,2,2,10,40,50,50,2,30,40,40,2,2,64,94
LFURP,Tagged,2,2,4,10,40,50,50,2,30,40,40,2,2,64,95
LFURP,Tagged,2,4,1,10,40,50,50,2,30,40,40,2,2,64,96
LFURP,Tagged,2,4,2,10,40,50,50,2,30,40,40,2,2,64,97
LFURP,Tagged,2,4,4,10,40,50,50,2,30,40,40,2,2,64,98
LFURP,Tagged,4,1,1,10,40,50,50,2,30,40,40,2,2,64,99
LFURP,Tagged,4,1,2,10,40,50,50,2,30,40,40,2,2,64,100
LFURP,Tagged,4,1,4,10,40,50,50,2,30,40,40,2,2,64,101
LFURP,Tagged,4,2,1,10,40,50,50,2,30,40,40,2,2,64,102
LFURP,Tagged,4,2,2,10,40,50,50,2,30,40,40,2,2,64,103
LFURP,Tagged,4,2,4,10,40,50,50,2,30,40,40,2,2,64,104
LFURP,Tagged,4,4,1,10,40,50,50,2,30,40,40,2,2,64,105
LFURP,Tagged,4,4,2,10,40,50,50,2,30,40,40,2,2,64,106
LFURP,Tagged,4,4,4,10,40,50,50,2,30,40,40,2,2,64,107
LFURP,Stride,1,1,1,10,40,50,50,2,30,40,40,2,2,64,108
LFURP,Stride,1,1,2,10,40,50,50,2,30,40,40,2,2,64,109
LFURP,Stride,1,1,4,10,40,50,50,2,30,40,40,2,2,64,110
LFURP,Stride,1,2,1,10,40,50,50,2,30,40,40,2,2,64,111
LFURP,Stride,1,2,2,10,40,50,50,2,30,40,40,2,2,64,112
LFURP,Stride,1,2,4,10,40,50,50,2,30,40,40,2,2,64,113
LFURP,Stride,1,4,1,10,40,50,50,2,30,40,40,2,2,64,114
LFURP,Stride,1,4,2,10,40,50,50,2,30,40,40,2,2,64,115
LFURP,Stride,1,4,4,10,40,50,50,2,30,40,40,2,2,64,116
LFURP,Stride,2,1,1,10,40,50,50,2,30,40,40,2,2,64,117
LFURP,Stride,2,1,2,10,40,50,50,2,30,40,40,2,2,64,118
LFURP,Stride,2,1,4,10,40,50,50,2,30,40,40,2,2,64,119
LFURP,Stride,2,2,1,10,40,50,50,2,30,40,40,2,2,64,120
LFURP,Stride,2,2,2,10,40,50,50,2,30,40,40,2,2,64,121
LFURP,Stride,2,2,4,10,40,50,50,2,30,40,40,2,2,64,122
LFURP,Stride,2,4,1,10,40,50,50,2,30,40,40,2,2,64,123
LFURP,Stride,2,4,2,10,40,50,50,2,30,40,40,2,2,64,124
LFURP,Stride,2,4,4,10,40,50,50,2,30,40,40,2,2,64,125
LFURP,Stride,4,1,1,10,40,50,50,2,30,40,40,2,2,64,126
LFURP,Stride,4,1,2,10,40,50,50,2,30,40,40,2,2,64,127
LFURP,Stride,4,1,4,10,40,50,50,2,30,40,40,2,2,64,128
LFURP,Stride,4,2,1,10,40,50,50,2,30,40,40,2,2,64,129
LFURP,Stride,4,2,2,10,40,50,50,2,30,40,40,2,2,64,130
LFURP,Stride,4,2,4,10,40,50,50,2,30,40,40,2,2,64,131
LFURP,Stride,4,4,1,10,40,50,50,2,30,40,40,2,2,64,132
LFURP,Stride,4,4,2,10,40,50,50,2,30,40,40,2,2,64,133
LFURP,Stride,4,4,4,10,40,50,50,2,30,40,40,2,2,64,134
LFURP,ISB,1,1,1,10,40,50,50,2,30,40,40,2,2,64,135
LFURP,ISB,1,1,2,10,40,50,50,2,30,40,40,2,2,64,136
LFURP,ISB,1,1,4,10,40,50,50,2,30,40,40,2,2,64,137
LFURP,ISB,1,2,1,10,40,50,50,2,30,40,40,2,2,64,138
LFURP,ISB,1,2,2,10,40,50,50,2,30,40,40,2,2,64,139
LFURP,ISB,1,2,4,10,40,50,50,2,30,40,40,2,2,64,140
LFURP,ISB,1,4,1,10,40,50,50,2,30,40,40,2,2,64,141
LFURP,ISB,1,4,2,10,40,50,50,2,30,40,40,2,2,64,142
LFURP,ISB,1,4,4,10,40,50,50,2,30,40,40,2,2,64,143
LFURP,ISB,2,1,1,10,40,50,50,2,30,40,40,2,2,64,144
LFURP,ISB,2,1,2,10,40,50,50,2,30,40,40,2,2,64,145
LFURP,ISB,2,1,4,10,40,50,50,2,30,40,40,2,2,64,146
LFURP,ISB,2,2,1,10,40,50,50,2,30,40,40,2,2,64,147
LFURP,ISB,2,2,2,10,40,50,50,2,30,40,40,2,2,64,148
LFURP,ISB,2,2,4,10,40,50,50,2,30,40,40,2,2,64,149
LFURP,ISB,2,4,1,10,40,50,50,2,30,40,40,2,2,64,150
LFURP,ISB,2,4,2,10,40,50,50,2,30,40,40,2,2,64,151
LFURP,ISB,2,4,4,10,40,50,50,2,30,40,40,2,2,64,152
LFURP,ISB,4,1,1,10,40,50,50,2,30,40,40,2,2,64,153
LFURP,ISB,4,1,2,10,40,50,50,2,30,40,40,2,2,64,154
LFURP,ISB,4,1,4,10,40,50,50,2,30,40,40,2,2,64,155
LFURP,ISB,4,2,1,10,40,50,50,2,30,40,40,2,2,64,156
LFURP,ISB,4,2,2,10,40,50,50,2,30,40,40,2,2,64,157
LFURP,ISB,4,2,4,10,40,50,50,2,30,40,40,2,2,64,158
LFURP,ISB,4,4,1,10,40,50,50,2,30,40,40,2,2,64,159
LFURP,ISB,4,4,2,10,40,50,50,2,30,40,40,2,2,64,160
LFURP,ISB,4,4,4,10,40,50,50,2,30,40,40,2,2,64,161
SecondChanceRP,Tagged,1,1,1,10,40,50,50,2,30,40,40,2,2,64,162
SecondChanceRP,Tagged,1,1,2,10,40,50,50,2,30,40,40,2,2,64,163
SecondChanceRP,Tagged,1,1,4,10,40,50,50,2,30,40,40,2,2,64,164
SecondChanceRP,Tagged,1,2,1,10,40,50,50,2,30,40,40,2,2,64,165
SecondChanceRP,Tagged,1,2,2,10,40,50,50,2,30,40,40,2,2,64,166
SecondChanceRP,Tagged,1,2,4,10,40,50,50,2,30,40,40,2,2,64,167
SecondChanceRP,Tagged,1,4,1,10,40,50,50,2,30,40,40,2,2,64,168
SecondChanceRP,Tagged,1,4,2,10,40,50,50,2,30,40,40,2,2,64,169
SecondChanceRP,Tagged,1,4,4,10,40,50,50,2,30,40,40,2,2,64,170
SecondChanceRP,Tagged,2,1,1,10,40,50,50,2,30,40,40,2,2,64,171
SecondChanceRP,Tagged,2,1,2,10,40,50,50,2,30,40,40,2,2,64,172
SecondChanceRP,Tagged,2,1,4,10,40,50,50,2,30,40,40,2,2,64,173
SecondChanceRP,Tagged,2,2,1,10,40,50,50,2,30,40,40,2,2,64,174
SecondChanceRP,Tagged,2,2,2,10,40,50,50,2,30,40,40,2,2,64,175
SecondChanceRP,Tagged,2,2,4,10,40,50,50,2,30,40,40,2,2,64,176
SecondChanceRP,Tagged,2,4,1,10,40,50,50,2,30,40,40,2,2,64,177
SecondChanceRP,Tagged,2,4,2,10,40,50,50,2,30,40,40,2,2,64,178
SecondChanceRP,Tagged,2,4,4,10,40,50,50,2,30,40,40,2,2,64,179
SecondChanceRP,Tagged,4,1,1,10,40,50,50,2,30,40,40,2,2,64,180
SecondChanceRP,Tagged,4,1,2,10,40,50,50,2,30,40,40,2,2,64,181
SecondChanceRP,Tagged,4,1,4,10,40,50,50,2,30,40,40,2,2,64,182
SecondChanceRP,Tagged,4,2,1,10,40,50,50,2,30,40,40,2,2,64,183
SecondChanceRP,Tagged,4,2,2,10,40,50,50,2,30,40,40,2,2,64,184
SecondChanceRP,Tagged,4,2,4,10,40,50,50,2,30,40,40,2,2,64,185
SecondChanceRP,Tagged,4,4,1,10,40,50,50,2,30,40,40,2,2,64,186
SecondChanceRP,Tagged,4,4,2,10,40,50,50,2,30,40,40,2,2,64,187
SecondChanceRP,Tagged,4,4,4,10,40,50,50,2,30,40,40,2,2,64,188
SecondChanceRP,Stride,1,1,1,10,40,50,50,2,30,40,40,2,2,64,189
SecondChanceRP,Stride,1,1,2,10,40,50,50,2,30,40,40,2,2,64,190
SecondChanceRP,Stride,1,1,4,10,40,50,50,2,30,40,40,2,2,64,191
SecondChanceRP,Stride,1,2,1,10,40,50,50,2,30,40,40,2,2,64,192
SecondChanceRP,Stride,1,2,2,10,40,50,50,2,30,40,40,2,2,64,193
SecondChanceRP,Stride,1,2,4,10,40,50,50,2,30,40,40,2,2,64,194
SecondChanceRP,Stride,1,4,1,10,40,50,50,2,30,40,40,2,2,64,195
SecondChanceRP,Stride,1,4,2,10,40,50,50,2,30,40,40,2,2,64,196
SecondChanceRP,Stride,1,4,4,10,40,50,50,2,30,40,40,2,2,64,197
SecondChanceRP,Stride,2,1,1,10,40,50,50,2,30,40,40,2,2,64,198
SecondChanceRP,Stride,2,1,2,10,40,50,50,2,30,40,40,2,2,64,199
SecondChanceRP,Stride,2,1,4,10,40,50,50,2,30,40,40,2,2,64,200
SecondChanceRP,Stride,2,2,1,10,40,50,50,2,30,40,40,2,2,64,201
SecondChanceRP,Stride,2,2,2,10,40,50,50,2,30,40,40,2,2,64,202
SecondChanceRP,Stride,2,2,4,10,40,50,50,2,30,40,40,2,2,64,203
SecondChanceRP,Stride,2,4,1,10,40,50,50,2,30,40,40,2,2,64,204
SecondChanceRP,Stride,2,4,2,10,40,50,50,2,30,40,40,2,2,64,205
SecondChanceRP,Stride,2,4,4,10,40,50,50,2,30,40,40,2,2,64,206
SecondChanceRP,Stride,4,1,1,10,40,50,50,2,30,40,40,2,2,64,207
SecondChanceRP,Stride,4,1,2,10,40,50,50,2,30,40,40,2,2,64,208
SecondChanceRP,Stride,4,1,4,10,40,50,50,2,30,40,40,2,2,64,209
SecondChanceRP,Stride,4,2,1,10,40,50,50,2,30,40,40,2,2,64,210
SecondChanceRP,Stride,4,2,2,10,40,50,50,2,30,40,40,2,2,64,211
SecondChanceRP,Stride,4,2,4,10,40,50,50,2,30,40,40,2,2,64,212
SecondChanceRP,Stride,4,4,1,10,40,50,50,2,30,40,40,2,2,64,213
SecondChanceRP,Stride,4,4,2,10,40,50,50,2,30,40,40,2,2,64,214
SecondChanceRP,Stride,4,4,4,10,40,50,50,2,30,40,40,2,2,64,215
SecondChanceRP,ISB,1,1,1,10,40,50,50,2,30,40,40,2,2,64,216
SecondChanceRP,ISB,1,1,2,10,40,50,50,2,30,40,40,2,2,64,217
SecondChanceRP,ISB,1,1,4,10,40,50,50,2,30,40,40,2,2,64,218
SecondChanceRP,ISB,1,2,1,10,40,50,50,2,30,40,40,2,2,64,219
SecondChanceRP,ISB,1,2,2,10,40,50,50,2,30,40,40,2,2,64,220
SecondChanceRP,ISB,1,2,4,10,40,50,50,2,30,40,40,2,2,64,221
SecondChanceRP,ISB,1,4,1,10,40,50,50,2,30,40,40,2,2,64,222
SecondChanceRP,ISB,1,4,2,10,40,50,50,2,30,40,40,2,2,64,223
SecondChanceRP,ISB,1,4,4,10,40,50,50,2,30,40,40,2,2,64,224
SecondChanceRP,ISB,2,1,1,10,40,50,50,2,30,40,40,2,2,64,225
SecondChanceRP,ISB,2,1,2,10,40,50,50,2,30,40,40,2,2,64,226
SecondChanceRP,ISB,2,1,4,10,40,50,50,2,30,40,40,2,2,64,227
SecondChanceRP,ISB,2,2,1,10,40,50,50,2,30,40,40,2,2,64,228
SecondChanceRP,ISB,2,2,2,10,40,50,50,2,30,40,40,2,2,64,229
SecondChanceRP,ISB,2,2,4,10,40,50,50,2,30,40,40,2,2,64,230
SecondChanceRP,ISB,2,4,1,10,40,50,50,2,30,40,40,2,2,64,231
SecondChanceRP,ISB,2,4,2,10,40,50,50,2,30,40,40,2,2,64,232
SecondChanceRP,ISB,2,4,4,10,40,50,50,2,30,40,40,2,2,64,233
SecondChanceRP,ISB,4,1,1,10,40,50,50,2,30,40,40,2,2,64,234
SecondChanceRP,ISB,4,1,2,10,40,50,50,2,30,40,40,2,2,64,235
SecondChanceRP,ISB,4,1,4,10,40,50,50,2,30,40,40,2,2,64,236
SecondChanceRP,ISB,4,2,1,10,40,50,50,2,30,40,40,2,2,64,237
SecondChanceRP,ISB,4,2,2,10,40,50,50,2,30,40,40,2,2,64,238
SecondChanceRP,ISB,4,2,4,10,40,50,50,2,30,40,40,2,2,64,239
SecondChanceRP,ISB,4,4,1,10,40,50,50,2,30,40,40,2,2,64,240
SecondChanceRP,ISB,4,4,2,10,40,50,50,2,30,40,40,2,2,64,241
SecondChanceRP,ISB,4,4,4,10,40,50,50,2,30,40,40,2,2,64,242
