experiment_index,simSeconds,simInsts,avg_big_l1i_missrate,avg_big_l1d_missrate,avg_big_l2_missrate,avg_little_l1i_missrate,avg_little_l1d_missrate,avg_little_l2_missrate,avg_l3_missrate
0,0.01427,9151956,0.05093685714285714,0.31855962499999996,0.9307886249999999,0.0218235,0.30828162500000006,0.8705782499999999,0.8130315
1,0.002515,8677027,0.04857857142857142,0.32194512499999994,0.9144726249999999,0.019691333333333335,0.309968875,0.8785797500000001,0.053086249999999995
2,0.002249,8787031,0.045343428571428576,0.31887162499999994,0.9352168750000001,0.0188255,0.30628875000000005,0.86924725,0.0011545
3,0.005885,9067640,0.048238857142857146,0.339850375,0.33087937500000003,0.027098,0.31431812499999995,0.8543702500000001,0.3592305
4,0.002573,8649169,0.053141714285714285,0.344697625,0.3865902499999999,0.020327666666666667,0.30711574999999997,0.866162375,0.05289050000000001
5,0.002329,8596993,0.051108142857142866,0.33889587500000007,0.371755125,0.0218758,0.30599987500000003,0.8554957499999999,0.0018375
6,0.001882,8318604,0.05609071428571428,0.36750087499999995,0.0010583749999999999,0.02737616666666667,0.330968,0.342408375,0.0257685
7,0.001785,8315731,0.058621285714285716,0.36670824999999996,0.001107875,0.0234958,0.33076625000000004,0.347148625,0.00589825
8,0.001778,8231729,0.061472857142857155,0.35619662500000004,0.00132625,0.018939499999999998,0.332018,0.346671,0.00485
9,0.015487,9260436,0.045293,0.32429262499999995,0.9275941249999999,0.016498400000000003,0.29194362500000004,0.9610603749999999,0.7714822499999999
10,0.002961,8880980,0.03904371428571429,0.32822025,0.921879625,0.015596599999999999,0.28891325,0.966260875,0.07415225
11,0.002657,8930866,0.04079271428571428,0.31688974999999997,0.8695416250000001,0.0147936,0.291161375,0.9647258750000001,0.001361
12,0.007633,9158604,0.03978771428571428,0.319600375,0.35080687499999996,0.0168848,0.29162562500000005,0.9511999999999999,0.36585924999999997
13,0.002565,8859638,0.041652857142857144,0.32281987500000003,0.3658625,0.013077,0.286789375,0.953315125,0.06742475
14,0.002516,8834554,0.04374671428571429,0.31052637499999997,0.30656175,0.012920333333333334,0.288759375,0.952186,0.002036
15,0.001857,8628522,0.04727285714285714,0.33914687499999996,0.00122325,0.0178404,0.29790525,0.321797125,0.0588665
16,0.001592,8533274,0.04195257142857143,0.33574399999999993,0.0012365,0.0170656,0.29838325,0.326875625,0.008736250000000001
17,0.001593,8329520,0.05097842857142857,0.32901225,0.00202475,0.013990833333333334,0.29904175,0.32477999999999996,0.0086905
18,0.015287,9245298,0.034833714285714294,0.32181112500000003,0.6953026250000001,0.011063499999999999,0.295797375,0.974717125,0.61194125
19,0.003934,8857059,0.038524142857142854,0.331128875,0.7026330000000002,0.010144166666666668,0.297150625,0.975382875,0.056351
20,0.003511,8888294,0.03699157142857142,0.32078062500000004,0.674305625,0.0118286,0.296774375,0.976766625,0.00135075
21,0.008713,9138421,0.03477057142857143,0.297500875,0.221873125,0.015931,0.29632299999999995,0.9335133750000001,0.39218225
22,0.00318,8925214,0.03827142857142857,0.32258812499999995,0.24837212500000003,0.010834333333333335,0.296247875,0.9373628749999999,0.04445725
